cgroup,duration,cycles
baseline,12.1493,31723679752
slow,1.93812,5060703304
fast,1.78787,4668373768
baseline,16.6455,43463888658
slow,2.11514,5522916888
fast,1.91816,5008584966
baseline,17.5021,45700587856
slow,2.60966,6814190040
fast,2.29942,6004101272
baseline,20.5589,53682233244
slow,2.73525,7142131854
fast,2.27163,5931536296
baseline,19.1339,49961368128
slow,2.51601,6569648440
fast,2.27718,5946024722
baseline,15.5362,40567243066
slow,2.53014,6606561678
fast,2.28421,5964398740
baseline,18.1082,47283214684
slow,2.54516,6645771444
fast,2.27957,5952271250
baseline,19.1077,49892812636
slow,2.6232,6849544640
fast,2.28522,5967037668
baseline,18.7288,48903670788
slow,2.58481,6749305666
fast,2.23189,5827776356
baseline,19.6721,51366573822
slow,2.51207,6559374146
fast,2.26457,5913110328
