is_thp,duration,cycles
thp_enabled,0.284239,742187657
thp_disabled,0.606688,1584149540
thp_enabled,0.278848,728109715
thp_disabled,0.609605,1591767211
thp_enabled,0.285801,746264069
thp_disabled,0.6121,1598280949
thp_enabled,0.285232,744779521
thp_disabled,0.611913,1597794759
thp_enabled,0.280247,731763668
thp_disabled,0.605406,1580802532
thp_enabled,0.280117,731423533
thp_disabled,0.617652,1612779505
thp_enabled,0.280029,731193479
thp_disabled,0.612256,1598688434
thp_enabled,0.284796,743641425
thp_disabled,0.613814,1602756625
thp_enabled,0.279339,729393790
thp_disabled,0.60958,1591702347
thp_enabled,0.280607,732702707
thp_disabled,0.605329,1580600708
